addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
EEAD,7,standalone,EEAD,7,EEAD,7,1,0x02,ptr_scan
EEAE,7,secondary,EE2C,7,EE2C,7,1,0x02,ptr_scan
EFAD,7,secondary,EE2C,7,EE2C,7,1,0x02,ptr_scan
F0AD,7,standalone,F0AD,7,F0AD,7,1,0x02,ptr_scan
F1AD,7,standalone,F1AD,7,F1AD,7,1,0x02,ptr_scan
F2AD,7,standalone,F2AD,7,F2AD,7,1,0x02,ptr_scan
F3AD,7,standalone,F3AD,7,F3AD,7,1,0x02,ptr_scan
F3AE,7,standalone,F3AE,7,F3AE,7,1,0x02,ptr_scan
F4AD,7,standalone,F4AD,7,F4AD,7,1,0x02,ptr_scan
F4AE,7,standalone,F4AE,7,F4AE,7,1,0x02,ptr_scan
F5AD,7,standalone,F5AD,7,F5AD,7,1,0x02,ptr_scan
F5AE,7,standalone,F5AE,7,F5AE,7,1,0x02,ptr_scan
F7AE,7,standalone,F7AE,7,F7AE,7,1,0x02,ptr_scan
F8AD,7,standalone,F8AD,7,F8AD,7,1,0x02,ptr_scan
F8AE,7,standalone,F8AE,7,F8AE,7,1,0x02,ptr_scan
E2A9,7,standalone,E2A9,7,E2A9,7,1,0x02,ptr_scan
E2AA,7,standalone,E2AA,7,E2AA,7,1,0x02,ptr_scan
F6D0,7,standalone,F6D0,7,F6D0,7,1,0x02,ptr_scan
F6D1,7,secondary,F6B3,7,F6B3,7,1,0x02,ptr_scan
EDBE,7,standalone,EDBE,7,EDBE,7,1,0x02,ptr_scan
D04C,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
D04D,7,standalone,D04D,7,D04D,7,1,0x02,ptr_scan
CDAF,7,secondary,CD38,7,CD38,7,1,0x02,ptr_scan
F7D0,7,standalone,F7D0,7,F7D0,7,1,0x02,ptr_scan
F7D1,7,standalone,F7D1,7,F7D1,7,1,0x02,ptr_scan
EE8D,7,secondary,EE2C,7,EE2C,7,1,0x02,ptr_scan
E78D,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E78E,7,standalone,E78E,7,E78E,7,1,0x02,ptr_scan
F061,7,standalone,F061,7,F061,7,6,0x06,ptr_scan|table_run
CEE8,7,secondary,CECF,7,CECF,7,1,0x02,ptr_scan
